[2024/04/20 17:09:40] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:09:40] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:09:40] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  50/100] lr: 0.00200, loss: 0.00384, EQ: 0.00384, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40747.51, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  60/100] lr: 0.00200, loss: 0.00356, EQ: 0.00356, batch_cost: 0.00078s, reader_cost: 0.00005s, ips: 41033.30, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  70/100] lr: 0.00200, loss: 0.00332, EQ: 0.00332, batch_cost: 0.00078s, reader_cost: 0.00005s, ips: 41108.60, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  80/100] lr: 0.00200, loss: 0.00337, EQ: 0.00337, batch_cost: 0.00077s, reader_cost: 0.00005s, ips: 41468.74, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  90/100] lr: 0.00200, loss: 0.00342, EQ: 0.00342, batch_cost: 0.00077s, reader_cost: 0.00005s, ips: 41624.56, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter 100/100] lr: 0.00200, loss: 0.00326, EQ: 0.00326, batch_cost: 0.00076s, reader_cost: 0.00005s, ips: 41966.99, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  6/10][Iter  10/100] lr: 0.00200, loss: 0.00152, EQ: 0.00152, batch_cost: 0.00149s, reader_cost: 0.00006s, ips: 21412.37, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  6/10][Iter  20/100] lr: 0.00200, loss: 0.00206, EQ: 0.00206, batch_cost: 0.00141s, reader_cost: 0.00007s, ips: 22668.84, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  6/10][Iter  30/100] lr: 0.00200, loss: 0.00343, EQ: 0.00343, batch_cost: 0.00117s, reader_cost: 0.00006s, ips: 27440.87, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  6/10][Iter  40/100] lr: 0.00200, loss: 0.00352, EQ: 0.00352, batch_cost: 0.00108s, reader_cost: 0.00006s, ips: 29592.44, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  6/10][Iter  50/100] lr: 0.00200, loss: 0.00361, EQ: 0.00361, batch_cost: 0.00101s, reader_cost: 0.00005s, ips: 31798.19, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  6/10][Iter  60/100] lr: 0.00200, loss: 0.00378, EQ: 0.00378, batch_cost: 0.00100s, reader_cost: 0.00005s, ips: 31983.27, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  6/10][Iter  70/100] lr: 0.00200, loss: 0.00360, EQ: 0.00360, batch_cost: 0.00102s, reader_cost: 0.00005s, ips: 31372.16, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  6/10][Iter  80/100] lr: 0.00200, loss: 0.00332, EQ: 0.00332, batch_cost: 0.00104s, reader_cost: 0.00006s, ips: 30875.78, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  6/10][Iter  90/100] lr: 0.00200, loss: 0.00311, EQ: 0.00311, batch_cost: 0.00106s, reader_cost: 0.00006s, ips: 30310.27, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  6/10][Iter 100/100] lr: 0.00200, loss: 0.00292, EQ: 0.00292, batch_cost: 0.00106s, reader_cost: 0.00006s, ips: 30244.14, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  10/100] lr: 0.00200, loss: 0.00126, EQ: 0.00126, batch_cost: 0.00080s, reader_cost: 0.00004s, ips: 39953.83, eta: 0:00:00
