[2024/04/20 17:58:11] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:58:11] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:58:11] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:58:11] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  10/100] lr: 0.00200, loss: 0.00126, EQ: 0.00092, BC: 0.00034, batch_cost: 0.00145s, reader_cost: 0.00011s, ips: 22763.04, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  20/100] lr: 0.00200, loss: 0.00127, EQ: 0.00094, BC: 0.00033, batch_cost: 0.00147s, reader_cost: 0.00012s, ips: 22514.06, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  30/100] lr: 0.00200, loss: 0.00140, EQ: 0.00094, BC: 0.00046, batch_cost: 0.00148s, reader_cost: 0.00012s, ips: 22239.98, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  40/100] lr: 0.00200, loss: 0.00134, EQ: 0.00093, BC: 0.00041, batch_cost: 0.00148s, reader_cost: 0.00011s, ips: 22345.67, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  50/100] lr: 0.00200, loss: 0.00127, EQ: 0.00091, BC: 0.00036, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22356.31, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  60/100] lr: 0.00200, loss: 0.00152, EQ: 0.00094, BC: 0.00058, batch_cost: 0.00149s, reader_cost: 0.00010s, ips: 22190.59, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  70/100] lr: 0.00200, loss: 0.00170, EQ: 0.00097, BC: 0.00072, batch_cost: 0.00149s, reader_cost: 0.00010s, ips: 22115.07, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  80/100] lr: 0.00200, loss: 0.00164, EQ: 0.00096, BC: 0.00069, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22226.61, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter  90/100] lr: 0.00200, loss: 0.00162, EQ: 0.00096, BC: 0.00065, batch_cost: 0.00149s, reader_cost: 0.00010s, ips: 22174.49, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  6/10][Iter 100/100] lr: 0.00200, loss: 0.00169, EQ: 0.00097, BC: 0.00073, batch_cost: 0.00149s, reader_cost: 0.00010s, ips: 22182.29, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  10/100] lr: 0.00200, loss: 0.00111, EQ: 0.00078, BC: 0.00033, batch_cost: 0.00152s, reader_cost: 0.00008s, ips: 21647.02, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  20/100] lr: 0.00200, loss: 0.00116, EQ: 0.00088, BC: 0.00028, batch_cost: 0.00149s, reader_cost: 0.00009s, ips: 22123.32, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  30/100] lr: 0.00200, loss: 0.00172, EQ: 0.00095, BC: 0.00077, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22318.78, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  40/100] lr: 0.00200, loss: 0.00178, EQ: 0.00099, BC: 0.00079, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22309.22, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  50/100] lr: 0.00200, loss: 0.00188, EQ: 0.00097, BC: 0.00091, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22294.86, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  60/100] lr: 0.00200, loss: 0.00226, EQ: 0.00100, BC: 0.00126, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22350.82, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  70/100] lr: 0.00200, loss: 0.00225, EQ: 0.00100, BC: 0.00125, batch_cost: 0.00148s, reader_cost: 0.00010s, ips: 22231.07, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  80/100] lr: 0.00200, loss: 0.00222, EQ: 0.00098, BC: 0.00124, batch_cost: 0.00149s, reader_cost: 0.00009s, ips: 22125.76, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter  90/100] lr: 0.00200, loss: 0.00236, EQ: 0.00099, BC: 0.00136, batch_cost: 0.00149s, reader_cost: 0.00009s, ips: 22096.08, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  7/10][Iter 100/100] lr: 0.00200, loss: 0.00227, EQ: 0.00097, BC: 0.00130, batch_cost: 0.00149s, reader_cost: 0.00009s, ips: 22189.83, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  10/100] lr: 0.00200, loss: 0.00076, EQ: 0.00065, BC: 0.00012, batch_cost: 0.00150s, reader_cost: 0.00014s, ips: 22009.18, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  20/100] lr: 0.00200, loss: 0.00095, EQ: 0.00081, BC: 0.00014, batch_cost: 0.00152s, reader_cost: 0.00013s, ips: 21657.74, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  30/100] lr: 0.00200, loss: 0.00101, EQ: 0.00086, BC: 0.00015, batch_cost: 0.00153s, reader_cost: 0.00011s, ips: 21639.26, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  40/100] lr: 0.00200, loss: 0.00096, EQ: 0.00081, BC: 0.00015, batch_cost: 0.00160s, reader_cost: 0.00011s, ips: 20626.69, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  50/100] lr: 0.00200, loss: 0.00129, EQ: 0.00086, BC: 0.00043, batch_cost: 0.00158s, reader_cost: 0.00010s, ips: 20860.81, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  60/100] lr: 0.00200, loss: 0.00133, EQ: 0.00088, BC: 0.00045, batch_cost: 0.00158s, reader_cost: 0.00010s, ips: 20884.45, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  70/100] lr: 0.00200, loss: 0.00128, EQ: 0.00088, BC: 0.00040, batch_cost: 0.00158s, reader_cost: 0.00010s, ips: 20942.91, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  80/100] lr: 0.00200, loss: 0.00124, EQ: 0.00087, BC: 0.00037, batch_cost: 0.00156s, reader_cost: 0.00009s, ips: 21108.38, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter  90/100] lr: 0.00200, loss: 0.00122, EQ: 0.00086, BC: 0.00036, batch_cost: 0.00157s, reader_cost: 0.00009s, ips: 21063.85, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  8/10][Iter 100/100] lr: 0.00200, loss: 0.00138, EQ: 0.00088, BC: 0.00049, batch_cost: 0.00156s, reader_cost: 0.00009s, ips: 21208.39, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  10/100] lr: 0.00200, loss: 0.00360, EQ: 0.00108, BC: 0.00252, batch_cost: 0.00146s, reader_cost: 0.00008s, ips: 22550.75, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  20/100] lr: 0.00200, loss: 0.00406, EQ: 0.00111, BC: 0.00295, batch_cost: 0.00153s, reader_cost: 0.00009s, ips: 21591.58, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  30/100] lr: 0.00200, loss: 0.00323, EQ: 0.00101, BC: 0.00222, batch_cost: 0.00156s, reader_cost: 0.00009s, ips: 21207.90, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  40/100] lr: 0.00200, loss: 0.00286, EQ: 0.00100, BC: 0.00186, batch_cost: 0.00157s, reader_cost: 0.00009s, ips: 20984.34, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  50/100] lr: 0.00200, loss: 0.00254, EQ: 0.00095, BC: 0.00160, batch_cost: 0.00158s, reader_cost: 0.00008s, ips: 20910.70, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  60/100] lr: 0.00200, loss: 0.00243, EQ: 0.00093, BC: 0.00149, batch_cost: 0.00158s, reader_cost: 0.00008s, ips: 20916.62, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  70/100] lr: 0.00200, loss: 0.00239, EQ: 0.00094, BC: 0.00145, batch_cost: 0.00162s, reader_cost: 0.00009s, ips: 20390.74, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  80/100] lr: 0.00200, loss: 0.00226, EQ: 0.00093, BC: 0.00133, batch_cost: 0.00160s, reader_cost: 0.00009s, ips: 20580.80, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter  90/100] lr: 0.00200, loss: 0.00213, EQ: 0.00091, BC: 0.00122, batch_cost: 0.00159s, reader_cost: 0.00008s, ips: 20706.95, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  9/10][Iter 100/100] lr: 0.00200, loss: 0.00201, EQ: 0.00090, BC: 0.00111, batch_cost: 0.00158s, reader_cost: 0.00009s, ips: 20903.23, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  10/100] lr: 0.00200, loss: 0.00076, EQ: 0.00073, BC: 0.00004, batch_cost: 0.00148s, reader_cost: 0.00008s, ips: 22349.92, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  20/100] lr: 0.00200, loss: 0.00116, EQ: 0.00078, BC: 0.00039, batch_cost: 0.00150s, reader_cost: 0.00008s, ips: 22060.54, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  30/100] lr: 0.00200, loss: 0.00241, EQ: 0.00093, BC: 0.00148, batch_cost: 0.00151s, reader_cost: 0.00011s, ips: 21845.95, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  40/100] lr: 0.00200, loss: 0.00292, EQ: 0.00094, BC: 0.00198, batch_cost: 0.00157s, reader_cost: 0.00011s, ips: 20959.29, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  50/100] lr: 0.00200, loss: 0.00336, EQ: 0.00097, BC: 0.00239, batch_cost: 0.00156s, reader_cost: 0.00010s, ips: 21126.76, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  60/100] lr: 0.00200, loss: 0.00351, EQ: 0.00100, BC: 0.00251, batch_cost: 0.00155s, reader_cost: 0.00010s, ips: 21229.46, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  70/100] lr: 0.00200, loss: 0.00331, EQ: 0.00098, BC: 0.00232, batch_cost: 0.00153s, reader_cost: 0.00010s, ips: 21608.26, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  80/100] lr: 0.00200, loss: 0.00305, EQ: 0.00096, BC: 0.00209, batch_cost: 0.00154s, reader_cost: 0.00010s, ips: 21467.09, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter  90/100] lr: 0.00200, loss: 0.00285, EQ: 0.00094, BC: 0.00191, batch_cost: 0.00154s, reader_cost: 0.00010s, ips: 21409.07, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: [Train][Epoch 10/10][Iter 100/100] lr: 0.00200, loss: 0.00268, EQ: 0.00092, BC: 0.00176, batch_cost: 0.00154s, reader_cost: 0.00010s, ips: 21480.87, eta: 0:00:00
[2024/04/20 17:58:14] ppsci INFO: l2_rel = 0.00869
[2024/04/20 17:58:14] ppsci MESSAGE: 1D result is saved to: res/output_quick_start_case2/visual/epoch_0/u=sin(x).png
[2024/04/20 17:58:14] ppsci INFO: [Visualize][Epoch 0] Finish visualization
